English,Japanese,カテゴリ
ward office,区役所,行政
city hall,市役所,行政
metropolitan government,都庁,行政
ordinance,条例,行政
permit,許可,行政
application form,申請書,行政
resident registration,住民登録,行政
my number card,マイナンバーカード,行政
welfare office,福祉事務所,福祉
nursing care,介護,福祉
public assistance,生活保護,福祉
child support allowance,児童扶養手当,福祉
disability certificate,障害者手帳,福祉
public health center,保健所,福祉
disaster prevention drill,防災訓練,防災
evacuation site,避難場所,防災
shelter,避難所,防災
emergency rations,非常食,防災
earthquake early warning,緊急地震速報,防災
fire department,消防署,防災
tsunami warning,津波警報,防災
sightseeing information center,観光案内所,観光
guide map,案内地図,観光
admission fee,入場料,観光
souvenir shop,土産物店,観光
hot spring,温泉,観光
shrine,神社,観光
temple,寺,観光
garbage collection,ゴミ収集,生活
recyclable waste,資源ごみ,生活
non-burnable garbage,不燃ごみ,生活
sewage,下水道,生活
